ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001008,PR-00001030,OSHC,Helping Hands Chatswood Hills,Helping Hands Network Pty Ltd,Chatswood Hills State School  Raleigh Street,SPRINGWOOD,QLD,4127,07 3208 1610,,chatswoodhills@helpinghandsnetwork.com.au,,135,10/3/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://chathillss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $11.00, ASC: $16.00, VC: $40.00""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001675,PR-00000313,Child care,John Paul College Early Learning Care,John Paul College Limited,John Paul Drive  ,DAISY HILL,QLD,4127,07 3826 3450,,lzammit@jpc.qld.edu.au, This service is approved to provide education and care from 7:00am to 6:00pm Monday to Friday during school holidays This service is approved to provide education and care from 7:00am to 8:30am and from 2:30pm to 6:00pm Monday to Friday during school terms,30,1/27/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.jpc.qld.edu.au/learning/the-early-years/early-learning-centre/,6 weeks -  5 years,"""6 weeks - 3 years: $79.00, 3 - 5 years: $74.00""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000656,PR-00000313,,John Paul College Early Learning Centre,John Paul College Limited,Chatswood Road  ,DAISY HILL,QLD,4127,07 3826 3444,07 3826 3445,childcare1@jpc.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/19/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002025,PR-00000313,Child care,John Paul College Kindergarten,John Paul College Limited,John Paul Drive  ,DAISY HILL,QLD,4127,07 3826 3450,07 3826 3436,lzammit@jpc.qld.edu.au, This service is approved to provide education and care from 8.30am to 2.30pm Monday to Friday during school terms.,72,7/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.jpc.qld.edu.au/learning/the-early-years/kindergarten/,3 - 5 years,"""3 - 5 years: $3,400 - $6,800 per annum""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000947,PR-00000313,OSHC,John Paul College Outside School Hours Care,John Paul College Limited,John Paul College  John Paul Drive,DAISY HILL,QLD,4127,07 3826 3333,07 3826 3434,jmarxsen@jpc.qld.edu.au,,150,2/20/09,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Excellent,http://www.jpc.qld.edu.au/community/outside-school-hours-care/,3 - 12 years,"""BSC: $10.00, ASC: $10.00 - $18.00, VC: $41.00""","""BSC: 7:00 - 8:30am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000189,PR-00001204,Child care,Kingston Early Learning Centre,Annette Anderson and Lee Maree McDonald,Lot 69 Sesame Court  ,SLACKS CREEK,QLD,4127,07 3208 8410,07 3208 2393,kingstonelc@bigpond.com.au (TBA), This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,41,3/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,"""15 months - 3 years: $74.00, 3 - 5 years: $71.00""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-40000575,PR-40000526,Child care,Mumtaaz Family Day Care,Mumtaaz Family Day Care Pty Ltd AFT Mumtaaz Unit Trust,4/390 Kingston Road  ,SLACKS CREEK,QLD,4127,07 38087772,,info@mumtaazfdc.com.au,,0,6/6/13,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,,,,,,,,F,,,,,,,,,,,,,,,
SE-00002009,PR-00000659,OSHC,PCYC Logan - Mabel Park School Age Care,Queensland Police-Citizens Youth Welfare Association ,Borman Street  ,MABEL PARK,QLD,4127,3208 0897,,mabelparksac@pcyc.org.au,,45,1/29/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Logan-Mabel-Park.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.50, VC: $49.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:40 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000948,PR-00000659,OSHC,PCYC Logan - Springwood School Age Care,Queensland Police-Citizens Youth Welfare Association ,Springwood Central State Schol  Dennis Road,SPRINGWOOD,QLD,4127,3290 9318,,springwoodsac@pcyc.org.au,,70,4/15/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Logan-Springwood.aspx,5 - 12 years,"""BSC: $15.00, ASC: $20.00, VC: $49.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000176,PR-00001011,Child care,Rosie's Early Learning Pty Ltd,Rosie's Early Learning Pty Ltd,16 Allamanda Drive  ,DAISY HILL,QLD,4127,07 3808 3051,3808 9831,rosiesearlylearning@bigpond.com , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is not required to comply with P3 (c) P5 (e) and P9 to the extet it relates to the location of a built-in bath or shower of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003).  This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,1/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,"""15 - 30 months: $77.00, 30 months - 5 years: $71.00""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
